"year","name","percent","sex"
2008,"Esteban",0.000391,"boy"
2008,"Cruz",0.000388,"boy"
2008,"Finn",0.000387,"boy"
2008,"Mauricio",0.000382,"boy"
2008,"Dennis",0.000381,"boy"
2008,"Keaton",0.000381,"boy"
2008,"Albert",0.00038,"boy"
2008,"Marvin",0.00038,"boy"
2008,"Mathew",0.00038,"boy"
2008,"Larry",0.00038,"boy"
2008,"Moises",0.000378,"boy"
2008,"Issac",0.000373,"boy"
2008,"Philip",0.000373,"boy"
2008,"Quentin",0.000372,"boy"
2008,"Curtis",0.000371,"boy"
2008,"Greyson",0.000371,"boy"
2008,"Jameson",0.000371,"boy"
2008,"Everett",0.00037,"boy"
2008,"Jayce",0.000369,"boy"
2008,"Darren",0.000367,"boy"
2008,"Elliott",0.000364,"boy"
2008,"Uriel",0.000363,"boy"
2008,"Alfredo",0.000362,"boy"
2008,"Hugo",0.000358,"boy"
2008,"Alec",0.000355,"boy"
2008,"Jamari",0.000355,"boy"
2008,"Marshall",0.000352,"boy"
2008,"Walter",0.000351,"boy"
2008,"Judah",0.000349,"boy"
2008,"Jay",0.000347,"boy"
2008,"Lance",0.000346,"boy"
2008,"Beau",0.000345,"boy"
2008,"Ali",0.000342,"boy"
2008,"Landyn",0.000341,"boy"
2008,"Yahir",0.000341,"boy"
2008,"Phoenix",0.00034,"boy"
2008,"Nickolas",0.000338,"boy"
2008,"Kobe",0.000336,"boy"
2008,"Bryant",0.000335,"boy"
2008,"Maurice",0.000335,"boy"
2008,"Russell",0.000335,"boy"
2008,"Leland",0.000334,"boy"
2008,"Colten",0.000334,"boy"
2008,"Reed",0.000333,"boy"
2008,"Davis",0.000333,"boy"
2008,"Joe",0.000332,"boy"
2008,"Ernesto",0.000332,"boy"
2008,"Desmond",0.000331,"boy"
2008,"Kade",0.000331,"boy"
2008,"Reece",0.00033,"boy"
2008,"Morgan",0.000328,"boy"
2008,"Ramon",0.000328,"boy"
2008,"Rocco",0.000325,"boy"
2008,"Orlando",0.000321,"boy"
2008,"Ryker",0.000321,"boy"
2008,"Brodie",0.000319,"boy"
2008,"Paxton",0.000318,"boy"
2008,"Jacoby",0.000318,"boy"
2008,"Douglas",0.000315,"boy"
2008,"Kristopher",0.000315,"boy"
2008,"Gary",0.000313,"boy"
2008,"Lawrence",0.000311,"boy"
2008,"Izaiah",0.00031,"boy"
2008,"Solomon",0.00031,"boy"
2008,"Nikolas",0.000309,"boy"
2008,"Mekhi",0.000309,"boy"
2008,"Justice",0.000308,"boy"
2008,"Tate",0.000307,"boy"
2008,"Jaydon",0.000305,"boy"
2008,"Salvador",0.000305,"boy"
2008,"Shaun",0.000305,"boy"
2008,"Alvin",0.000301,"boy"
2008,"Eddie",0.000301,"boy"
2008,"Kane",0.000301,"boy"
2008,"Davion",0.000299,"boy"
2008,"Zachariah",0.000296,"boy"
2008,"Dorian",0.000294,"boy"
2008,"Titus",0.000293,"boy"
2008,"Kellen",0.000292,"boy"
2008,"Camron",0.000291,"boy"
2008,"Isiah",0.000291,"boy"
2008,"Javon",0.000289,"boy"
2008,"Nasir",0.000289,"boy"
2008,"Milo",0.000288,"boy"
2008,"Johan",0.000285,"boy"
2008,"Byron",0.000284,"boy"
2008,"Jasper",0.000284,"boy"
2008,"Jonathon",0.000282,"boy"
2008,"Chad",0.000281,"boy"
2008,"Marc",0.000281,"boy"
2008,"Kelvin",0.00028,"boy"
2008,"Chandler",0.000279,"boy"
2008,"Sam",0.000279,"boy"
2008,"Cory",0.000277,"boy"
2008,"Deandre",0.000276,"boy"
2008,"River",0.000276,"boy"
2008,"Reese",0.000275,"boy"
2008,"Roger",0.000273,"boy"
2008,"Quinton",0.000273,"boy"
2008,"Talon",0.000272,"boy"
2008,"Romeo",0.000272,"boy"
2008,"Franklin",0.000271,"boy"
2008,"Noel",0.00027,"boy"
2008,"Alijah",0.00027,"boy"
2008,"Guillermo",0.00027,"boy"
2008,"Gunner",0.00027,"boy"
2008,"Damon",0.000269,"boy"
2008,"Jadon",0.000269,"boy"
2008,"Emerson",0.000268,"boy"
2008,"Micheal",0.000268,"boy"
2008,"Bruce",0.000267,"boy"
2008,"Terry",0.000267,"boy"
2008,"Kolton",0.000266,"boy"
2008,"Melvin",0.000266,"boy"
2008,"Beckett",0.000265,"boy"
2008,"Porter",0.000264,"boy"
2008,"August",0.000264,"boy"
2008,"Brycen",0.000262,"boy"
2008,"Dayton",0.000262,"boy"
2008,"Jamarion",0.000262,"boy"
2008,"Leonel",0.000261,"boy"
2008,"Karson",0.00026,"boy"
2008,"Zayden",0.000259,"boy"
2008,"Keagan",0.000258,"boy"
2008,"Carl",0.000257,"boy"
2008,"Khalil",0.000257,"boy"
2008,"Cristopher",0.000255,"boy"
2008,"Nelson",0.000255,"boy"
2008,"Braiden",0.000255,"boy"
2008,"Moses",0.000254,"boy"
2008,"Isaias",0.000253,"boy"
2008,"Roy",0.000253,"boy"
2008,"Triston",0.000252,"boy"
2008,"Walker",0.000251,"boy"
